Rank,Name,Undergraduate Population,Student Population,Net Price,Average Grant Aid,Total Annual Cost,Alumni Salary,Acceptance Rate
254.0,Saint John's University (MN),1815.0,1816.0,23977.0,27780.0,55872.0,108400.0,80.0
255.0,California Lutheran University,3207.0,4236.0,25871.0,27282.0,59877.0,95000.0,73.0
256.0,"Embry-Riddle Aeronautical University, Prescott",2543.0,2663.0,32898.0,15756.0,51036.0,117900.0,77.0
257.0,Beloit College,1402.0,1509.0,13972.0,30344.0,59442.0,85700.0,54.0
258.0,Western Washington University,15915.0,16246.0,16220.0,6500.0,38067.0,99300.0,85.0
259.0,Rockhurst University,2176.0,3043.0,22901.0,26031.0,51631.0,92500.0,72.0
260.0,University of Kansas,20894.0,27625.0,18814.0,9205.0,41074.0,98600.0,93.0
261.0,Oregon State University,29777.0,30896.0,20493.0,8263.0,44706.0,104800.0,79.0
262.0,"University of Maryland, Baltimore County",12702.0,13662.0,20539.0,9402.0,41674.0,103600.0,60.0
263.0,Point Loma Nazarene University,3313.0,4417.0,31452.0,16687.0,49844.0,90100.0,76.0
264.0,Wheaton College (MA),1688.0,1695.0,27875.0,31592.0,65818.0,97500.0,48.0
265.0,New School,8911.0,10389.0,40819.0,19358.0,69475.0,101700.0,62.0
266.0,Calvin University,3840.0,4232.0,25596.0,18532.0,46790.0,91100.0,83.0
267.0,Christopher Newport University,5001.0,5081.0,22351.0,5737.0,41876.0,87200.0,72.0
268.0,New Jersey Institute of Technology,9366.0,11446.0,19409.0,13782.0,51518.0,121300.0,61.0
269.0,Juniata College,1495.0,1638.0,24795.0,29639.0,58165.0,93100.0,71.0
270.0,College of the Ozarks,1508.0,1773.0,8352.0,15362.0,29539.0,71100.0,13.0
271.0,University of Arkansas,24344.0,27558.0,16069.0,6629.0,40162.0,98000.0,66.0
272.0,"California State University, Long Beach",34415.0,37622.0,9423.0,8454.0,35946.0,101700.0,28.0
273.0,"California State Polytechnic University, Pomona",24747.0,26053.0,13068.0,7957.0,37937.0,110800.0,55.0
274.0,"CUNY, Queens College",19866.0,20379.0,3318.0,9104.0,35692.0,96700.0,43.0
275.0,University of Redlands,3556.0,4898.0,29520.0,30419.0,67024.0,102400.0,75.0
276.0,Michigan Technological University,6148.0,7292.0,15481.0,11959.0,46344.0,116300.0,74.0
277.0,New College of Florida,859.0,885.0,10248.0,9341.0,43678.0,86500.0,69.0
278.0,University of Dallas,1505.0,2510.0,23663.0,25952.0,54876.0,96400.0,47.0
279.0,"University of Illinois, Chicago",19476.0,30539.0,13866.0,13415.0,43518.0,103800.0,77.0
