Rank,Name,City,Code,Public/Private,Undergraduate Population,Student Population,Net Price,Average Grant Aid,Total Annual Cost,Alumni Salary,Acceptance Rate,SAT Lower,SAT Upper,ACT Lower,ACT Upper,Website,lat,lon,State
241,Rollins College,Winter Park,FL,Private,2894,3278,30194.0,30057.0,67775,87000.0,64.0,,,,,www.rollins.edu,28.597770699999998,-81.35102640000001,Florida
242,University of Central Florida,Orlando,FL,Public,65100,66059,15286.0,5757.0,38353,88600.0,50.0,1150.0,1320.0,24.0,29.0,www.ucf.edu,28.5421109,-81.3790304,Florida
243,Ithaca College,Ithaca,NY,Private,6488,6516,33848.0,25073.0,61339,98600.0,71.0,,,,,www.ithaca.edu,42.4396039,-76.49680190000001,New York
244,DePaul University,Chicago,IL,Private,17838,22769,30502.0,20387.0,56275,102900.0,72.0,,,,,www.depaul.edu/Pages/default.aspx,41.875561600000005,-87.6244212,Illinois
245,Missouri University of Science and Technology,Rolla,MO,Public,7192,8883,14473.0,8975.0,38684,122600.0,84.0,1100.0,1340.0,25.0,31.0,www.mst.edu,37.9509324,-91.77080759999998,Missouri
246,University of New Hampshire,Durham,NH,Public,13688,15363,24529.0,12539.0,47570,100300.0,77.0,1070.0,1260.0,23.0,28.0,www.unh.edu,43.134564000000005,-70.927048,New Hampshire
247,Hope College,Holland,MI,Private,3150,3281,26175.0,15907.0,45410,90900.0,74.0,1090.0,1320.0,24.0,29.0,www.hope.edu,42.7876022,-86.1090828,Michigan
248,Loyola University Chicago,Chicago,IL,Private,12864,16673,33036.0,22016.0,59958,96000.0,71.0,1120.0,1310.0,24.0,29.0,www.luc.edu,41.875561600000005,-87.6244212,Illinois
249,Seton Hall University,South Orange,NJ,Private,6260,9801,27563.0,24710.0,57090,103800.0,73.0,1140.0,1280.0,24.0,28.0,www.shu.edu,40.7474966,-74.26353759999999,New Jersey
250,College of Wooster,Wooster,OH,Private,1980,2122,25442.0,30851.0,61900,91300.0,56.0,1150.0,1380.0,24.0,30.0,wooster.edu,40.798097600000006,-81.9397733,Ohio
251,University of Scranton,Scranton,PA,Private,3893,5373,35298.0,22094.0,61096,99700.0,75.0,1080.0,1280.0,23.0,28.0,www.scranton.edu,41.4086874,-75.66212940000001,Pennsylvania
252,University of Alabama,Tuscaloosa,AL,Public,35625,38563,21973.0,16494.0,46744,97400.0,53.0,1050.0,1280.0,23.0,32.0,www.ua.edu,33.2095614,-87.5675258,Alabama
253,College of Saint Benedict,St. Joseph,MN,Private,1937,2022,25020.0,28210.0,56880,88600.0,81.0,1010.0,1220.0,22.0,28.0,www.csbsju.edu,45.5645229,-94.31805159999999,Minnesota
